meter_id,month,year,cost(£),saved cost(£)
MAC000074,12,2013,165005069.02,24000149.26
MAC000074,11,2013,90004503.06,16000066.4
MAC000074,10,2013,120004752.23,16000063.62
MAC000074,9,2013,105004058.12,16000116.1
MAC000074,8,2013,45004535.48,8000088.72
MAC000074,7,2013,210004260.67,40000037.84
MAC000074,6,2013,165003956.17,32000102.72
MAC000074,5,2013,157504039.63,32000057.84
MAC000074,4,2013,90004292.78,16000100.89
MAC000074,3,2013,120005202.09,8000103.65
MAC000074,2,2013,82504317.17,-13999899.59
MAC000074,1,2013,127505112.14,16000061.64
MAC000073,12,2013,150001966.61,12000035.67
MAC000073,11,2013,180001566.03,-10999967.24
MAC000073,10,2013,150001454.82,22.92
MAC000073,9,2013,75001804.13,8000031.85
MAC000073,8,2013,75002089.38,8000027.34
MAC000073,7,2013,150001891.32,12000024.37
MAC000073,6,2013,180001644.74,-2999963.77
MAC000073,5,2013,150002057.83,12000013.38
MAC000073,4,2013,150001733.66,4000042.14
MAC000073,3,2013,105001862.8,1000029.24
MAC000073,2,2013,150001686.21,8000049.34
MAC000073,1,2013,105001787.0,-6999960.72
MAC000072,12,2013,105002071.84,7.27
MAC000072,11,2013,90002009.08,12000003.75
MAC000072,10,2013,105001820.91,15999992.06
MAC000072,9,2013,105001593.93,4999993.18
MAC000072,8,2013,90001613.86,-4.82
MAC000072,7,2013,120001556.02,8000003.31
MAC000072,6,2013,195001388.65,-5999986.11
MAC000072,5,2013,195002002.24,4999997.38
MAC000072,4,2013,105001596.71,7999992.2
MAC000072,3,2013,150002417.79,8000004.13
MAC000072,2,2013,195002149.46,-2999987.72
MAC000072,1,2013,105002430.22,11999998.79
MAC000070,12,2013,150001969.5,-21999979.11
MAC000070,11,2013,165001984.07,-6999992.25
MAC000070,10,2013,180001847.28,7999993.63
MAC000070,9,2013,120001879.08,15999991.78
MAC000070,8,2013,165001847.1,15999996.75
MAC000070,7,2013,150001927.56,24000015.09
MAC000070,6,2013,120001875.8,-7000016.34
MAC000070,5,2013,120001964.33,23999995.98
MAC000070,4,2013,195001976.45,19999993.8
MAC000070,3,2013,120002022.3,20000006.91
MAC000070,2,2013,75001965.9,4000009.69
MAC000070,1,2013,225001909.87,9000015.84
MAC000069,12,2013,90001940.97,-10999963.56
MAC000069,11,2013,150001329.18,16000021.26
MAC000069,10,2013,150001158.64,8000018.59
MAC000069,9,2013,135000979.68,8000019.74
MAC000069,8,2013,165001168.41,12000017.8
MAC000069,7,2013,120001867.8,16000054.97
MAC000069,6,2013,75001778.23,-6999956.98
MAC000069,5,2013,30001800.96,-6999957.73
MAC000069,4,2013,15000349.25,4000006.38
MAC000069,3,2013,30000418.52,9.82
MAC000069,2,2013,45000396.82,4000010.12
MAC000069,1,2013,45000383.86,10.41
